"track_n","line","lyric","track_title","clean_track_title"
3,62,"That's how long I been on ya(Work it harder, make it better","Stronger","stronger"
3,63,"Do it faster, makes us stronger)(I need you right now!)","Stronger","stronger"
3,64,"(I need you right now!)","Stronger","stronger"
3,65,"You know how long I've been on ya","Stronger","stronger"
3,66,"Since Prince was on Apollonia","Stronger","stronger"
3,67,"Since O.J. had Isotoners","Stronger","stronger"
3,68,"Don't act like I never told ya","Stronger","stronger"
3,69,"Don't act like I never told ya","Stronger","stronger"
3,70,"Don't act like I never told ya","Stronger","stronger"
3,71,"Don't act like I never told ya","Stronger","stronger"
3,72,"Don't act like I never told ya","Stronger","stronger"
3,73,"Baby, you're makin' it(Harder, better, faster, stronger)","Stronger","stronger"
3,74,"N-now th-that that don't kill me","Stronger","stronger"
3,75,"Can only make me stronger","Stronger","stronger"
3,76,"I need you to hurry up now","Stronger","stronger"
3,77,"‘Cause I can't wait much longer","Stronger","stronger"
3,78,"I know I got to be right now","Stronger","stronger"
3,79,"‘Cause I can't get much wronger","Stronger","stronger"
3,80,"Man, I've been waiting all night now","Stronger","stronger"
3,81,"That's how long I been on ya(Work it harder, make it better","Stronger","stronger"
3,82,"Do it faster, makes us stronger)(I need you right now!)","Stronger","stronger"
3,83,"(I need you right now!)","Stronger","stronger"
3,84,"Right now!Work it harder, make it better","Stronger","stronger"
3,85,"Do it faster, makes us stronger(I need you right now!)","Stronger","stronger"
3,86,"(I need you right now!)","Stronger","stronger"
3,87,"You know how long I've been on ya","Stronger","stronger"
3,88,"Since Prince was on Apollonia","Stronger","stronger"
3,89,"Since O.J. had Isotoners","Stronger","stronger"
3,90,"Don't act like I never told ya","Stronger","stronger"
3,91,"You know how long I've been on ya","Stronger","stronger"
3,92,"Since Prince was on Apollonia","Stronger","stronger"
3,93,"Since O.J. had Isotoners","Stronger","stronger"
3,94,"Don't act like I never told ya told ya told ya","Stronger","stronger"
3,95,"Never told ya…told ya told ya told ya","Stronger","stronger"
3,96,"Never told ya…told ya told ya told ya","Stronger","stronger"
3,97,"Never told ya…told ya told ya told ya","Stronger","stronger"
3,98,"Never told ya…told ya told ya told ya","Stronger","stronger"
3,99,"Never over…Never over… Never over… Never over…","Stronger","stronger"
3,100,"Never over…Never over… Never over… Never over…","Stronger","stronger"
3,101,"(Harder, better, faster, stronger)","Stronger","stronger"
3,102,"Work it harder, make it better","Stronger","stronger"
3,103,"Do it faster, makes us stronger","Stronger","stronger"
3,104,"More than ever, hour after","Stronger","stronger"
3,105,"Our work is never over","Stronger","stronger"
3,106,"Work it harder, make it better","Stronger","stronger"
3,107,"Do it faster, makes us stronger","Stronger","stronger"
3,108,"More than ever, hour after—","Stronger","stronger"
3,109,"Our work is never over","Stronger","stronger"
3,110,"Work it harder, make it better","Stronger","stronger"
3,111,"Do it faster, makes us stronger","Stronger","stronger"
3,112,"More than ever, hour after hour","Stronger","stronger"
3,113,"Work is never over","Stronger","stronger"
3,114,"Work it harder, make it better","Stronger","stronger"
3,115,"Do it faster, makes us stronger","Stronger","stronger"
3,116,"More than ever, hour after hour","Stronger","stronger"
3,117,"Work is never over","Stronger","stronger"
4,2,"Find your dreams come true","I Wonder","i wonder"
4,3,"And I wonder if you know","I Wonder","i wonder"
4,4,"What it means, what it means","I Wonder","i wonder"
4,5,"And I wonder if you know","I Wonder","i wonder"
4,6,"What it means, what it means","I Wonder","i wonder"
4,7,"And I wonder if you know","I Wonder","i wonder"
4,8,"What it means to find your dreams","I Wonder","i wonder"
4,9,"And I wonder","I Wonder","i wonder"
4,10,"I've been waiting on this my whole life","I Wonder","i wonder"
4,11,"(And I wonder)","I Wonder","i wonder"
4,12,"These dreams be waking me up at night","I Wonder","i wonder"
4,13,"(And I wonder)","I Wonder","i wonder"
4,14,"You say I think I'm never wrong","I Wonder","i wonder"
4,15,"(And I wonder)","I Wonder","i wonder"
4,16,"You know what? Maybe you're right","I Wonder","i wonder"
4,17,"A'ight?","I Wonder","i wonder"
4,18,"And I wonder if you know","I Wonder","i wonder"
4,19,"What it means, what it means","I Wonder","i wonder"
4,20,"And I wonder if you know","I Wonder","i wonder"
4,21,"What it means to find your dreams","I Wonder","i wonder"
4,22,"And I wonder","I Wonder","i wonder"
4,23,"You say he get on your fucking nerves","I Wonder","i wonder"
4,24,"(And I wonder)","I Wonder","i wonder"
4,25,"You hope that he get what he deserves, word","I Wonder","i wonder"
4,26,"(And I wonder)","I Wonder","i wonder"
4,27,"Do you even remember what the issue is?","I Wonder","i wonder"
4,28,"You just trying to find where the tissue is","I Wonder","i wonder"
4,29,"You can still be who you wish you is","I Wonder","i wonder"
4,30,"It ain't happen yet","I Wonder","i wonder"
4,31,"And that's what intuition is","I Wonder","i wonder"
4,32,"(And I wonder)","I Wonder","i wonder"
4,33,"When you hop back in the car","I Wonder","i wonder"
4,34,"Drive back to the crib","I Wonder","i wonder"
4,35,"Run back to their arms","I Wonder","i wonder"
4,36,"The smokescreens","I Wonder","i wonder"
4,37,"The chokes and the screams","I Wonder","i wonder"
4,38,"You ever wonder what it all really means?","I Wonder","i wonder"
4,39,"And I wonder if you know","I Wonder","i wonder"
4,40,"What it means, what it means","I Wonder","i wonder"
4,41,"And I wonder if you know","I Wonder","i wonder"
4,42,"What it means to find your dreams","I Wonder","i wonder"
4,43,"And I wonder","I Wonder","i wonder"
4,44,"And I'm back on my grind","I Wonder","i wonder"
4,45,"A psychic read my lifeline","I Wonder","i wonder"
4,46,"Told me in my lifetime","I Wonder","i wonder"
4,47,"My name would help light up the Chicago skyline","I Wonder","i wonder"
4,48,"And that's why I'm","I Wonder","i wonder"
4,49,"(And I wonder)","I Wonder","i wonder"
4,50,"Seven o'clock, that's primetime","I Wonder","i wonder"
4,51,"Heaven'll watch, God calling from the hotlines","I Wonder","i wonder"
4,52,"Why he keep giving me hot lines?","I Wonder","i wonder"
4,53,"I'm a star, how could I not shine?","I Wonder","i wonder"
4,54,"(And I wonder)","I Wonder","i wonder"
4,55,"How many ladies in the house?","I Wonder","i wonder"
4,56,"(If you know)","I Wonder","i wonder"
4,57,"How many ladies in the house without a spouse?","I Wonder","i wonder"
4,58,"(What it means)","I Wonder","i wonder"
4,59,"Something in your blouse got me feeling so aroused","I Wonder","i wonder"
4,60,"(What it means)","I Wonder","i wonder"
4,61,"What you about?","I Wonder","i wonder"
4,62,"(And I wonder)","I Wonder","i wonder"
4,63,"On that independent shit","I Wonder","i wonder"
4,64,"(If you know)","I Wonder","i wonder"
4,65,"Trade it all for a husband and some kids","I Wonder","i wonder"
4,66,"(What it means)","I Wonder","i wonder"
4,67,"You ever wonder what it all really mean?","I Wonder","i wonder"
4,68,"(To find your dreams come true)","I Wonder","i wonder"
4,69,"You wonder if you'll ever find your dreams?","I Wonder","i wonder"
5,2,"Like we always do at this time","Good Life (Ft. T-Pain)","good life"
5,3,"I go for mine, I gots to shine","Good Life (Ft. T-Pain)","good life"
5,4,"(Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,5,"I, go, go for mine, I gots to shine","Good Life (Ft. T-Pain)","good life"
5,6,"(Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,7,"I'ma get on this TV momma, I'ma","Good Life (Ft. T-Pain)","good life"
5,8,"I'ma put shit down","Good Life (Ft. T-Pain)","good life"
5,9,"(Ayy) ayy (Ayy), ayy","Good Life (Ft. T-Pain)","good life"
5,10,"(Ayy) ayy (Ayy), I'm good","Good Life (Ft. T-Pain)","good life"
5,11,"Welcome to the good life, where niggas who sell D","Good Life (Ft. T-Pain)","good life"
5,12,"Won't even get pulled over in they new VThe good life, let's go on a living spree","Good Life (Ft. T-Pain)","good life"
5,13,"Shit, they say the best things in life are free","Good Life (Ft. T-Pain)","good life"
5,14,"The good life, it feel like Atlanta","Good Life (Ft. T-Pain)","good life"
5,15,"It feel like L.A., it feel like Miami","Good Life (Ft. T-Pain)","good life"
5,16,"It feel like NY, summertime Chi","Good Life (Ft. T-Pain)","good life"
5,17,"Ah! (Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,18,"So I roll through good","Good Life (Ft. T-Pain)","good life"
5,19,"Y'all pop the trunk, I pop the hood, Ferrari","Good Life (Ft. T-Pain)","good life"
5,20,"And she got the goods","Good Life (Ft. T-Pain)","good life"
5,21,"And she got that ass, I got to look, sorry!","Good Life (Ft. T-Pain)","good life"
5,22,"Yo, it's got to be 'cause I'm seasoned","Good Life (Ft. T-Pain)","good life"
5,23,"Haters give me them salty looks, Lawry's50 told me, ""Go 'head, switch the style up","Good Life (Ft. T-Pain)","good life"
5,24,"And if they hate then let 'em hate and watch the money pile up""","Good Life (Ft. T-Pain)","good life"
5,25,"The good life","Good Life (Ft. T-Pain)","good life"
5,26,"Now I, I go for mine, I got to shine","Good Life (Ft. T-Pain)","good life"
5,27,"(Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,28,"Now I, I go for mine, I got to shine","Good Life (Ft. T-Pain)","good life"
5,29,"(Now throw yo hands up in the sky)(I'ma get on this TV momma, I'ma)","Good Life (Ft. T-Pain)","good life"
5,30,"(I'ma put shit down)","Good Life (Ft. T-Pain)","good life"
5,31,"Ayy (Ayy), ayy (Ayy)","Good Life (Ft. T-Pain)","good life"
5,32,"Ayy (Ayy), ayy (I'm good)","Good Life (Ft. T-Pain)","good life"
5,33,"Welcome to the good life!Where we like the girls who ain't on TV","Good Life (Ft. T-Pain)","good life"
5,34,"'Cause they got mo' (Ass than the models)","Good Life (Ft. T-Pain)","good life"
5,35,"The good life, so keep it comin' with the bottles","Good Life (Ft. T-Pain)","good life"
5,36,"'Cause she feel booze like she bombed at Apollo","Good Life (Ft. T-Pain)","good life"
5,37,"The good life, it feel like Houston","Good Life (Ft. T-Pain)","good life"
5,38,"It feel like Philly, it feel like D.C","Good Life (Ft. T-Pain)","good life"
5,39,"It feel like VA or the Bay or Yay","Good Life (Ft. T-Pain)","good life"
5,40,"Ayy, this is the good life (Welcome to the good life)","Good Life (Ft. T-Pain)","good life"
5,41,"Homey tell me what's good","Good Life (Ft. T-Pain)","good life"
5,42,"Why I only got a problem when you in the hood (Welcome to the good life)","Good Life (Ft. T-Pain)","good life"
5,43,"Like I'm new in the hood","Good Life (Ft. T-Pain)","good life"
5,44,"The only thing I wish, I wish a nigga would (Welcome to the good life!)","Good Life (Ft. T-Pain)","good life"
5,45,"He probably think he could","Good Life (Ft. T-Pain)","good life"
5,46,"But, but, I don't think he should (Welcome to the good life)50 told me, ""Go 'head, switch the style up","Good Life (Ft. T-Pain)","good life"
5,47,"And if they hate then let 'em hate and watch the money pile up""","Good Life (Ft. T-Pain)","good life"
5,48,"The good life","Good Life (Ft. T-Pain)","good life"
5,49,"Now I, I go for mine, I gots to shine","Good Life (Ft. T-Pain)","good life"
5,50,"(Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,51,"Now I, I go for mine, I gots to shine","Good Life (Ft. T-Pain)","good life"
5,52,"(Now throw yo hands up in the sky)","Good Life (Ft. T-Pain)","good life"
5,53,"I'ma get on the TV momma, I'ma","Good Life (Ft. T-Pain)","good life"
5,54,"I'ma put shit down","Good Life (Ft. T-Pain)","good life"
5,55,"(Ayy) ayy (Ayy), ayy","Good Life (Ft. T-Pain)","good life"
5,56,"(Ayy) ayy (Ayy), I'm good","Good Life (Ft. T-Pain)","good life"
5,57,"Have you ever popped champagne on a plane, while gettin' some brain","Good Life (Ft. T-Pain)","good life"
5,58,"Whipped it out, she said ""I never seen Snakes on a Plane""","Good Life (Ft. T-Pain)","good life"
5,59,"Whether you broke or rich you gotta get this","Good Life (Ft. T-Pain)","good life"
5,60,"Havin' money's not everything, not havin' it is","Good Life (Ft. T-Pain)","good life"
5,61,"I was splurgin' on Tryst, but when I get my card back","Good Life (Ft. T-Pain)","good life"
5,62,"Activated, I'm back to Vegas","Good Life (Ft. T-Pain)","good life"
5,63,"'Cause (The good life) I always had a passion for flashin'","Good Life (Ft. T-Pain)","good life"
5,64,"Befo' I had it, I closed my eyes and imagined the good life","Good Life (Ft. T-Pain)","good life"
5,65,"Better than the life I lived","Good Life (Ft. T-Pain)","good life"
5,66,"When I thought that I was gonna go crazy","Good Life (Ft. T-Pain)","good life"
5,67,"And now my grandmomma","Good Life (Ft. T-Pain)","good life"
5,68,"Ain't the only girl callin me ""baby""","Good Life (Ft. T-Pain)","good life"
5,69,"If you feelin' me now","Good Life (Ft. T-Pain)","good life"
5,70,"Then put yo hands up in the sky, and let me hear you say","Good Life (Ft. T-Pain)","good life"
5,71,"Hey, hey, ooh I'm good!","Good Life (Ft. T-Pain)","good life"
6,2,"La, la, la la (Yeah)","Can't Tell Me Nothing","can't tell me nothing"
6,3,"Wait 'til I get my money right","Can't Tell Me Nothing","can't tell me nothing"
6,4,"I had a dream I could buy my way to heaven","Can't Tell Me Nothing","can't tell me nothing"
6,5,"When I awoke, I spent that on a necklace","Can't Tell Me Nothing","can't tell me nothing"
6,6,"I told God I'd be back in a second","Can't Tell Me Nothing","can't tell me nothing"
6,7,"Man it's so hard not to act reckless","Can't Tell Me Nothing","can't tell me nothing"
6,8,"To whom much is given, much is tested","Can't Tell Me Nothing","can't tell me nothing"
6,9,"Get arrested guess until he get the message","Can't Tell Me Nothing","can't tell me nothing"
6,10,"I feel the pressure, under more scrutiny","Can't Tell Me Nothing","can't tell me nothing"
6,11,"And what I do? Act more stupidly","Can't Tell Me Nothing","can't tell me nothing"
6,12,"Bought more jewelry, more Louis VMy mama couldn't get through to me","Can't Tell Me Nothing","can't tell me nothing"
6,13,"The drama, people suing me","Can't Tell Me Nothing","can't tell me nothing"
6,14,"I'm on TV talking like it's just you and me","Can't Tell Me Nothing","can't tell me nothing"
6,15,"I'm just saying how I feel man","Can't Tell Me Nothing","can't tell me nothing"
6,16,"I ain't one of the Cosby's, I ain't go to Hillman","Can't Tell Me Nothing","can't tell me nothing"
6,17,"I guess the money should've changed him","Can't Tell Me Nothing","can't tell me nothing"
6,18,"I guess I should've forgot where I came from","Can't Tell Me Nothing","can't tell me nothing"
6,19,"La, la, la la","Can't Tell Me Nothing","can't tell me nothing"
6,20,"Wait 'til I get my money right","Can't Tell Me Nothing","can't tell me nothing"
6,21,"La, la, la la","Can't Tell Me Nothing","can't tell me nothing"
6,22,"Then you can't tell me nothing, right?","Can't Tell Me Nothing","can't tell me nothing"
6,23,"Excuse me, was you saying something?","Can't Tell Me Nothing","can't tell me nothing"
6,24,"Uh uh, you can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,25,"You can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,26,"Uh uh, you can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,27,"Let up the suicide doors","Can't Tell Me Nothing","can't tell me nothing"
6,28,"This is my life homie, you decide yours","Can't Tell Me Nothing","can't tell me nothing"
6,29,"I know that Jesus died for us","Can't Tell Me Nothing","can't tell me nothing"
6,30,"But I couldn't tell ya who decide wars","Can't Tell Me Nothing","can't tell me nothing"
6,31,"So I parallel double parked that motherfucker sideways","Can't Tell Me Nothing","can't tell me nothing"
6,32,"Old folks talking 'bout, ""Back in my day""But homie this is my day","Can't Tell Me Nothing","can't tell me nothing"
6,33,"Class started 2 hours ago, oh am I late?","Can't Tell Me Nothing","can't tell me nothing"
6,34,"No, I already graduated","Can't Tell Me Nothing","can't tell me nothing"
6,35,"And you can live through anything if Magic made it","Can't Tell Me Nothing","can't tell me nothing"
6,36,"They say I talk with so much emphasis","Can't Tell Me Nothing","can't tell me nothing"
6,37,"Ooh they so sensitive","Can't Tell Me Nothing","can't tell me nothing"
6,38,"Don't ever fix your lips like collagen","Can't Tell Me Nothing","can't tell me nothing"
6,39,"And say something when you gon' end up apolog'ing","Can't Tell Me Nothing","can't tell me nothing"
6,40,"Let me know if it's a problem then, aight man, holla then","Can't Tell Me Nothing","can't tell me nothing"
6,41,"La, la, la la","Can't Tell Me Nothing","can't tell me nothing"
6,42,"Wait 'til I get my money right","Can't Tell Me Nothing","can't tell me nothing"
6,43,"La, la, la la","Can't Tell Me Nothing","can't tell me nothing"
6,44,"Then you can't tell me nothing, right?","Can't Tell Me Nothing","can't tell me nothing"
6,45,"Excuse me, was you saying something?","Can't Tell Me Nothing","can't tell me nothing"
6,46,"Uh uh, you can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,47,"You can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,48,"Uh uh, you can't tell me nothing","Can't Tell Me Nothing","can't tell me nothing"
6,49,"Let the champagne splash, let that man get cash","Can't Tell Me Nothing","can't tell me nothing"
6,50,"Let that man get past","Can't Tell Me Nothing","can't tell me nothing"
6,51,"He don't even stop to get gas","Can't Tell Me Nothing","can't tell me nothing"
6,52,"If he can move through the rumors, he can drive off of fumes 'cause","Can't Tell Me Nothing","can't tell me nothing"
6,53,"How he move in a room full of no's?","Can't Tell Me Nothing","can't tell me nothing"
6,54,"How he stay faithful in a room full of hoes?","Can't Tell Me Nothing","can't tell me nothing"
6,55,"Must be the pharaohs, he in tune with his soul","Can't Tell Me Nothing","can't tell me nothing"
6,56,"So when he buried in a tomb full of gold","Can't Tell Me Nothing","can't tell me nothing"
6,57,"Treasure, what's your pleasure?","Can't Tell Me Nothing","can't tell me nothing"
6,58,"Life is a, UH, depending how you dress her","Can't Tell Me Nothing","can't tell me nothing"
6,59,"So if the Devil wear Prada, Adam Eve wear nada","Can't Tell Me Nothing","can't tell me nothing"
6,60,"I'm in between but way more fresher","Can't Tell Me Nothing","can't tell me nothing"
6,61,"With way less effort, 'cause when you try hard","Can't Tell Me Nothing","can't tell me nothing"
6,62,"That's when you die hard","Can't Tell Me Nothing","can't tell me nothing"
6,63,"Your homies looking like why God","Can't Tell Me Nothing","can't tell me nothing"
